 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
146,23.872385,5.3422704,2.7142856,1.5314286,0.022857148
147,24.411366,5.6081038,2.7142856,1.3942858,0.07372583
148,27.913578,7.2017784,2.857143,1.4228572,0.13544717
149,28.273798,7.2081103,2.857143,1.4990476,0.10066324
150,36.037525,11.819989,3.3333333,1.6933333,0.1387181
151,36.508286,14.242709,3.6,1.892,0.12321617
152,36.71097,14.5161495,3.6,1.892,0.12321617
153,36.81504,14.799619,3.6,1.892,0.12321617
154,41.220387,15.968124,3.8,1.892,0.11563742
155,33.331966,11.651204,3.1666667,1.7999998,0.10000002
156,33.54494,11.907958,3.1666667,1.8277777,0.07598377
157,34.10455,12.191005,3.1666667,1.7722222,0.10463196
158,34.42661,12.455289,3.1666667,1.7722222,0.10463196
159,34.892567,12.663396,3.1666667,1.7722222,0.10463196
160,35.336906,10.990455,3,1.604762,0.14682738
161,35.206978,9.891775,2.875,1.5416667,0.13393974
162,34.93586,10.201556,2.875,1.5166667,0.11692266
163,32.04287,8.494106,2.75,1.5041666,0.12847397
164,32.86355,9.145388,2.875,1.4791667,0.13275091
165,35.3515,11.309561,3,1.5041667,0.14918466
166,32.256657,9.757465,2.875,1.5791667,0.16382931
167,31.747223,9.819163,2.875,1.5291667,0.113829315
168,31.473076,9.884355,2.875,1.5291667,0.113829315
169,29.713165,9.644991,2.75,1.4875001,0.083210684
170,29.483646,9.906711,2.75,1.4875001,0.083210684
171,32.29006,11.20099,2.875,1.5458333,0.14213626
172,35.053986,15.205653,3.142857,1.6523811,0.21069407
173,37.444195,16.558268,3.2857144,1.6952382,0.27407497
174,39.558113,15.38176,3.4285715,1.4476192,0.25561255
175,39.96382,17.444534,3.6666667,1.6333333,0.19836421
176,39.281857,16.897825,3.6666667,1.6333333,0.19836421
177,38.399487,16.325808,3.6666667,1.6333333,0.19836421
178,34.215862,13.304122,3.5,1.6,0.21789043
179,36.03696,15.185374,3.2857144,1.3999999,0.18676321
180,34.223587,12.96924,2.875,1.3833333,0.11910431
181,24.897322,5.182933,2.625,1.4666667,0.074674994
182,25.624043,6.343021,2.75,1.51,0.040620197
183,25.304073,6.1219263,2.75,1.52,0.02915476
184,25.378172,6.0351667,2.75,1.52,0.02915476
185,42.35772,23.61324,3.2857144,1.5466667,0.14600696
186,42.50678,23.797165,3.2857144,1.5657142,0.15227208
187,52.042492,22.578695,4,1.6814286,0.20588772
188,52.507763,22.086782,4,1.6703173,0.18967843
189,53.05132,21.530098,4,1.6703173,0.18967843
190,53.807034,20.933409,4,1.616984,0.17574978
191,54.56195,20.360983,4,1.6036507,0.17574978
192,45.977448,16.281023,3.2857144,1.4251701,0.11355604
193,46.419434,16.04632,3.2857144,1.4088434,0.12926178
194,46.79136,15.8090925,3.2857144,1.4088434,0.12926178
195,45.527023,13.680487,3.125,1.2934524,0.15414722
196,31.08248,3.5981526,2.7,1.2766666,0.116021335
197,30.874435,3.6847997,2.7,1.3046668,0.07963804
198,30.368126,4.265016,2.7777777,1.3777777,0.0492071
199,30.254927,4.5589266,2.7777777,1.425926,0.057439838
200,30.239672,4.834487,2.7777777,1.4333334,0.08627963
201,30.279501,5.1631794,2.7777777,1.4111112,0.051578447
202,30.458073,5.521816,2.7777777,1.4111112,0.051578447
203,27.338516,3.905756,2.5,1.3800001,0.116420604
204,26.487064,4.689342,2.5555556,1.3333334,0.040467337
205,26.525078,4.993272,2.5555556,1.3333334,0.040467337
206,27.434563,5.2117176,2.5555556,1.2962964,0.054824755
207,60.192715,23.438875,3.5714285,1.2079364,0.14221637
208,60.688805,23.57493,3.5714285,1.236508,0.10295868
209,58.00708,20.753801,3.375,1.1569445,0.14008884
210,58.362347,20.856815,3.375,1.2069445,0.090088844
211,32.81053,8.438297,2.875,1.3654764,0.1609058
212,32.668404,7.4503107,2.7777777,1.2063493,0.14617918
213,32.211624,7.3779426,2.7777777,1.2571428,0.09614946
214,31.84184,7.2278094,2.7777777,1.2571428,0.101011224
215,31.545437,7.1144996,2.7777777,1.3291006,0.080698706
216,31.320427,7.029038,2.7777777,1.3333334,0.082747005
217,32.398148,8.916026,3,1.4166666,0.13558221
218,27.92371,6.2657213,2.6666667,1.4800001,0.11455614
219,29.535229,7.313263,2.7,1.3866668,0.13465641
220,28.972305,6.954207,2.7,1.46,0.06470487
221,29.9558,6.7860084,2.8,1.4288889,0.10064731
222,27.235817,4.9773555,2.5454545,1.4242425,0.07528213
223,26.909735,4.7124953,2.5454545,1.4424243,0.056016024
224,26.62136,4.5119076,2.5454545,1.4424243,0.056016024
225,28.075165,5.9763517,2.8888888,1.5407408,0.07422194
226,28.1232,5.7966347,2.8888888,1.56,0.06140638
