 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
283,21.54415,4.98E-06,2,1,0
284,22.029514,5.44E-06,2,1,0
285,21.126991,3.25E-06,2,1,0
286,21.81469,4.06E-06,2,1,0
287,22.92278,5.14E-06,2,1,0
288,24.189705,3.60E-06,2,1,0
289,24.260881,1.80E-06,2,1,0
290,24.08263,5.85E-06,2,1,0
291,25.379435,3.48E-06,2,1,0
292,26.148355,5.87E-06,2,0.94285715,0.057142857
293,26.610464,2.84E-06,2,1,0
294,29.873959,2.6452048,2.142857,1.0666667,0.06734351
295,29.526884,3.0767376,2.1666667,1.1,0.047140453
296,29.502853,3.0712955,2.1666667,1.1,0.047140453
297,29.445875,3.096942,2.1666667,1.1,0.047140453
298,29.503723,3.0411665,2.1666667,1.1,0.047140453
299,33.66012,6.234731,2.4285715,1.0666666,0.17273901
300,33.057076,5.955485,2.4285715,1.2571428,0.12121831
301,27.006628,0.49160537,2.142857,1.0857142,0.040406104
302,27.176552,0.30397666,2.125,1.0583334,0.07357022
303,29.275112,1.2883028,2.4285715,1.1999999,0.0451754
304,33.42578,4.4078946,2.8333333,1.2777778,0.04157397
305,33.591763,4.345143,2.8333333,1.3000001,0.027216552
306,33.742058,4.333169,2.8333333,1.3000001,0.027216552
307,34.120785,4.5136094,2.8333333,1.3000001,0.027216552
308,34.559628,4.7384844,2.8333333,1.3000001,0.027216552
309,38.194695,8.813698,3.2,1.4533334,0.12694077
310,30.175446,6.2732368,2.5714285,1.3619049,0.15142377
311,29.530382,6.104799,2.5714285,1.3999999,0.12121831
312,31.009638,5.6402316,2.7142856,1.3999999,0.12205577
313,30.892977,5.213341,2.7142856,1.452381,0.06816052
314,30.776873,4.788092,2.7142856,1.4952382,0.13165544
315,28.856302,3.7547433,2.5714285,1.4190476,0.07539882
316,28.947348,3.6245697,2.5714285,1.4,0.09511835
317,29.660685,3.0978625,2.5,1.3166667,0.115973964
318,29.65936,3.183163,2.5,1.3666667,0.06597397
319,29.611656,3.3091302,2.5,1.3666667,0.06597397
320,26.686134,1.9096775,2.375,1.2916667,0.030618625
321,25.993252,2.0429468,2.375,1.1916667,0.13061863
322,26.623758,3.9648066,2.5,1.2966666,0.045825765
323,25.884005,3.8393407,2.5,1.2733333,0.040844448
324,26.543003,3.2638428,2.4444444,1.2074075,0.0891222
325,26.040974,3.128342,2.4444444,1.2518518,0.04467775
326,25.281284,2.985254,2.4444444,1.2518518,0.04467775
327,24.595284,2.972519,2.4444444,1.2518518,0.04467775
328,24.569613,3.0313394,2.4444444,1.2518518,0.04467775
329,25.707561,2.8108175,2.4,1.1866667,0.08020998
330,27.522512,5.3919883,2.75,1.2583333,0.12565906
331,27.946884,5.5248127,2.75,1.2892857,0.1058854
332,28.970602,5.00216,2.6666667,1.2126985,0.1385648
333,29.678555,4.5885725,2.6,1.1914285,0.12470832
334,29.875168,4.625367,2.6,1.2314285,0.08470832
335,28.389984,2.3652222,2.5,1.1952381,0.034126617
336,28.95139,2.3386898,2.5,1.187619,0.030327013
337,29.545237,2.3020074,2.5,1.1704762,0.03340129
338,29.432766,2.541728,2.5555556,1.189418,0.03711255
339,28.927635,2.8441236,2.625,1.2130952,0.041751616
340,28.038877,3.2738872,2.7142856,1.2435373,0.047716133
341,31.613344,5.411995,2.857143,1.2952383,0.12927444
342,30.983704,6.2714863,3,1.3587302,0.07213732
343,30.02976,7.4201994,3.2,1.4152381,0.092507534
344,32.64146,9.141538,3.4,1.4895238,0.1855702
345,32.296047,9.076918,3.4,1.5695238,0.16448005
346,32.346428,8.951022,3.4,1.6,0.09360136
347,54.901604,26.335987,4.5,1.5,0.120604545
348,54.56175,25.983528,4.5,1.4909091,0.08999541
349,54.676956,25.56688,4.5,1.5,0.07687061
350,54.664345,25.068739,4.5,1.5181818,0.061321545
351,29.530111,8.140243,3,1.6622223,0.0545865
352,32.144436,9.6113615,3.1666667,1.6711111,0.14533056
353,31.305622,11.459651,3.4,1.8386667,0.17893496
354,26.440937,7.8447876,3.2,1.7586666,0.07998097
355,25.466618,8.012008,3.2,1.7586666,0.07998097
356,24.57867,7.9958878,3.2,1.7586666,0.07998097
357,24.781374,9.1551,3.4,1.8,0.14920844
358,26.83571,6.387008,3,1.5380952,0.18697305
359,25.536877,6.179395,3,1.6873016,0.044811405
360,24.513601,5.942305,3,1.7031746,0.04344105
361,23.594082,5.796202,3,1.7031746,0.04344105
362,23.719038,5.8008337,3,1.7349206,0.04900111
363,25.031935,5.150869,2.875,1.6013889,0.08242395
364,24.979013,5.1169095,2.875,1.6305556,0.044923935
365,25.034864,5.0713634,2.875,1.6055555,0.05325729
366,45.652187,24.887379,3.125,1.4930556,0.13617311
367,44.458523,23.681767,3,1.48,0.122791596
368,43.776424,20.90669,2.8888888,1.3822223,0.15359253
369,27.954702,3.0745301,2.7,1.3973334,0.09735801
370,28.145273,3.2027283,2.7,1.4706666,0.026892334
371,29.623022,3.9769027,2.8,1.4328889,0.07864019
372,29.650764,4.628477,2.8888888,1.4562963,0.09311407
373,30.119802,4.8968854,2.8888888,1.4562963,0.09311407
374,32.02181,7.234891,3.125,1.5183333,0.15944894
375,26.309011,4.99211,2.6666667,1.5222223,0.15208517
376,26.279016,5.2541943,2.6666667,1.4333334,0.06319627
377,26.36889,5.5352535,2.6666667,1.4333334,0.06319627
378,26.572794,5.813637,2.6666667,1.4333334,0.06319627
379,27.24877,7.872624,2.75,1.5083334,0.07214046
380,28.461475,7.9059515,2.75,1.5041666,0.12857024
381,28.810146,9.061781,2.857143,1.5523809,0.15079764
382,23.344217,5.120288,2.5714285,1.4761906,0.13254169
383,23.736738,5.2409263,2.5714285,1.4190476,0.07539882
384,24.706076,5.6618314,2.5714285,1.3857144,0.09930762
385,21.717976,3.7729027,2.25,1.25,0.08535534
386,22.781181,3.6252902,2.25,1.2,0.03535534
387,23.968916,3.4546423,2.25,1.2,0.03535534
388,23.658804,3.7495067,2.2857144,1.2285715,0.040406104
389,24.572905,3.5804543,2.2857144,1.2285715,0.040406104
390,24.111813,1.2442511,2.125,1.0916667,0.11178512
391,25.524199,1.1190346,2.1111112,1.0222223,0.075871415
392,28.282967,4.9250584,2.3333333,1.1222223,0.09643771
393,30.314497,5.2037606,2.4444444,1.1837038,0.08153522
394,29.836191,4.4101076,2.375,1.1750001,0.05303301
395,30.425064,4.42814,2.375,1.1625,0.047855344
396,31.101555,4.5170393,2.375,1.1625,0.047855344
397,29.823147,2.3170943,2.25,1.0875,0.012500003
398,29.812727,2.7437327,2.2857144,1.1,0.014285718
399,30.33722,2.8119564,2.2857144,1.1,0.014285718
400,34.192806,7.870608,2.5,1.1888889,0.06841812
401,33.08777,7.385587,2.5,1.2166667,0.097140454
402,27.61398,2.5441706,2.142857,1.0857142,0.040406104
403,26.829899,2.5425515,2.142857,1.0857142,0.040406104
404,26.259188,2.525346,2.142857,1.0857142,0.040406104
405,25.764389,2.5517287,2.142857,1.0857142,0.040406104
406,25.289745,2.5811107,2.142857,1.0857142,0.040406104
407,27.000462,5.195466,2.2857144,1.152381,0.10774962
408,26.40853,5.3214025,2.2857144,1.1714286,0.08081221
409,26.733364,4.7246895,2.25,1.0999999,0.120710686
410,27.113207,4.2458215,2.2222223,1.0888888,0.10729839
411,24.743385,1.9417027,2.1111112,1.0666667,0.03142697
412,24.24853,1.8844084,2.1111112,1.0666667,0.03142697
413,24.173664,1.8241202,2.1111112,1.0666667,0.03142697
414,23.81699,1.7724963,2.1111112,1.0222223,0.075871415
415,23.749763,1.6886849,2.1111112,1.0666667,0.03142697
416,24.658802,1.4527189,2.1,1.02,0.06828427
