 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, StdDev Mean Cluster Size, Mean SD Est, StdDev Mean SD Est, Mean acutal density
125,28.86386,6.51618,2.5,Stddev_mean_size,1.1645834,0.10856813,0.13362615
126,28.111454,6.522292,2.5,Stddev_mean_size,1.16875,0.11446069,0.18060307
127,27.337423,6.5086718,2.5,Stddev_mean_size,1.16875,0.11446069,0.25070727
128,26.622923,6.5088153,2.5,Stddev_mean_size,1.16875,0.11446069,0.3743367
129,27.607603,7.673138,2.625,Stddev_mean_size,1.2062501,0.15125969,0.62719023
130,26.924908,7.745696,2.625,Stddev_mean_size,1.21875,0.14981602,1.2905961
131,21.611307,2.2978067,2.2222223,Stddev_mean_size,1.1222223,0.09618728,0.74714535
132,21.288994,2.273456,2.2222223,Stddev_mean_size,1.0888889,0.06285394,0.7125946
133,19.233564,1.1796255,2.1111112,Stddev_mean_size,1.0444444,0.03142697,1.0868895
134,19.23034,1.1779368,2.1111112,Stddev_mean_size,1.0444444,0.03142697,0.567135
135,20.472004,1.0521686,2.1,Stddev_mean_size,1.03,0.038284272,0.49479693
136,20.183767,1.0728046,2.1,Stddev_mean_size,1.04,0.028284272,0.48728722
137,20.001984,0.9225737,2.1,Stddev_mean_size,1.0899999,0.008164963,0.46852058
138,20.024105,0.84258,2.1,Stddev_mean_size,1.1,0,0.44324794
139,18.326118,0.8495298,2.1111112,Stddev_mean_size,1.1111112,0,0.513455
140,18.332363,0.7854984,2.1111112,Stddev_mean_size,1.1111112,0,0.5052183
141,18.32424,0.75545955,2.1111112,Stddev_mean_size,1.1111112,0,0.5283375
142,18.335228,0.7780084,2.1111112,Stddev_mean_size,1.1111112,0,0.50475895
143,18.383192,0.82733244,2.1111112,Stddev_mean_size,1.0444444,0.03142697,0.46678618
144,20.134882,0.7905169,2.1,Stddev_mean_size,1.03,0.038284272,0.38942954
145,22.144299,1.7538998,2.2,Stddev_mean_size,1.1299999,0.036449235,0.032583162
146,22.168602,1.7155902,2.2,Stddev_mean_size,1.14,0.028284272,0.03587465
147,22.364542,1.7318264,2.2,Stddev_mean_size,1.14,0.028284272,0.039953236
148,22.746601,1.7809675,2.2,Stddev_mean_size,1.14,0.028284272,0.04442239
149,21.555296,0.6753944,2.1,Stddev_mean_size,1.11,0.010000003,0.05087952
150,22.700966,0.56773657,2.090909,Stddev_mean_size,1.0818181,0.009090909,0.054279443
151,22.855213,0.5175783,2.090909,Stddev_mean_size,1.0909091,0,0.06543415
152,23.05879,0.47800544,2.090909,Stddev_mean_size,1.0909091,0,0.0825945
153,21.921604,0.5027117,2.1,Stddev_mean_size,1.1,0,0.121169105
154,20.398067,0.57567406,2.1111112,Stddev_mean_size,1.1111112,0,0.14176804
155,20.486824,0.57204497,2.1111112,Stddev_mean_size,1.1111112,0,0.13755135
156,21.206272,3.4572024,2.25,Stddev_mean_size,1.1708333,0.029462783,0.15162556
157,23.730675,4.87299,2.375,Stddev_mean_size,1.2083334,0.08249579,0.14633207
158,24.58824,5.2876453,2.5,Stddev_mean_size,1.4041667,0.056838125,0.11898864
159,24.001204,5.136305,2.5,Stddev_mean_size,1.425,0.03535534,0.10348677
160,23.723942,4.999095,2.5,Stddev_mean_size,1.425,0.03535534,0.09025937
161,23.669914,5.077932,2.5,Stddev_mean_size,1.425,0.03535534,0.07980154
162,24.791197,4.6146603,2.4444444,Stddev_mean_size,1.3666667,0.04253808,0.064375386
163,23.20728,2.1924174,2.3333333,Stddev_mean_size,1.3333334,0,0.060141675
164,24.860928,2.1641173,2.3,Stddev_mean_size,1.29,0.01,0.05048106
165,25.920586,2.1318495,2.2727273,Stddev_mean_size,1.2121211,0.039089378,0.064670004
166,25.985756,2.2754421,2.2727273,Stddev_mean_size,1.2181817,0.025712974,0.0877886
167,26.261497,2.3350477,2.2727273,Stddev_mean_size,1.2121212,0.029998468,0.12933291
168,24.383982,2.9321795,2.3333333,Stddev_mean_size,1.2666667,0.03142697,0.29242072
169,24.481184,2.9892256,2.3333333,Stddev_mean_size,1.2666667,0.03142697,1.7555485
170,23.834694,4.150985,2.3333333,Stddev_mean_size,1.2629629,0.053013742,0.5176718
171,24.341452,4.275877,2.3333333,Stddev_mean_size,1.2037038,0.068091765,0.23589352
172,26.796637,6.350597,2.4444444,Stddev_mean_size,1.2370371,0.10062446,0.21082126
173,25.934649,7.641955,2.4444444,Stddev_mean_size,1.2046297,0.095596276,0.99741364
174,25.831728,7.5806503,2.4444444,Stddev_mean_size,1.2166667,0.07031587,0.9578352
175,24.226486,3.9672961,2.3333333,Stddev_mean_size,1.1833333,0.050000004,0.9352913
176,24.57505,3.6651824,2.3333333,Stddev_mean_size,1.1722223,0.03888889,0.86617357
177,25.553837,3.3562746,2.3333333,Stddev_mean_size,1.1722223,0.03888889,0.7814219
178,26.335838,3.1096418,2.3333333,Stddev_mean_size,1.1722223,0.03888889,0.74215335
179,27.199017,2.920514,2.3333333,Stddev_mean_size,1.1722223,0.03888889,0.66152954
180,25.909502,3.5782883,2.4285715,Stddev_mean_size,1.2214286,0.050000004,0.82777655
181,26.318161,3.4141445,2.4285715,Stddev_mean_size,1.2214286,0.050000004,0.90090096
182,22.354647,0.6689813,2.125,Stddev_mean_size,1.15,0.025000006,0.90118784
183,25.016508,1.1885133,2.2222223,Stddev_mean_size,1.1296296,0.05301374,1.1135821
184,25.203041,1.174209,2.2222223,Stddev_mean_size,1.1555555,0.03142697,1.814915
185,25.644583,1.1583287,2.2222223,Stddev_mean_size,1.1555555,0.03142697,3.3500376
186,24.98029,1.3011155,2.25,Stddev_mean_size,1.1083333,0.08249579,119.4937
187,25.586054,1.3355314,2.25,Stddev_mean_size,1.1,0.07071068,4.8388605
188,25.024246,1.5691881,2.2857144,Stddev_mean_size,1.1142857,0.08081221,3.0355403
189,25.681734,1.5841147,2.2857144,Stddev_mean_size,1.1952381,0.047140446,2.6297004
190,26.523886,1.5434005,2.2857144,Stddev_mean_size,1.1999999,0.040406104,2.2617314
191,27.490646,1.4850856,2.2857144,Stddev_mean_size,1.1999999,0.040406104,2.147486
192,32.386272,6.628853,2.6666667,Stddev_mean_size,1.2244445,0.12387424,2.4907367
193,33.032413,6.7183475,2.6666667,Stddev_mean_size,1.24,0.13186222,2.484596
194,32.868427,10.297413,3,Stddev_mean_size,1.27,0.16869026,3.7577758
195,29.919577,8.229452,2.75,Stddev_mean_size,1.2375,0.1582107,3.897111
196,29.809757,8.113805,2.75,Stddev_mean_size,1.2375,0.1582107,3.946708
197,29.73325,8.059061,2.75,Stddev_mean_size,1.3520833,0.20692629,4.0245714
198,30.586752,6.467852,2.6,Stddev_mean_size,1.2766668,0.17090836,3.0814736
199,27.965693,4.2025843,2.4,Stddev_mean_size,1.2866666,0.065996625,2.3748822
200,27.2457,4.343826,2.4,Stddev_mean_size,1.28,0.056568544,1.4307978
201,31.65363,6.188387,2.6,Stddev_mean_size,1.295,0.076648556,0.6848543
202,30.844065,6.177506,2.6,Stddev_mean_size,1.3100001,0.07000001,0.8529266
203,30.244549,6.184018,2.6,Stddev_mean_size,1.2033334,0.14542472,1.1348805
204,29.638699,6.177615,2.6,Stddev_mean_size,1.19,0.12656856,1.7711794
205,29.84552,5.1249804,2.5,Stddev_mean_size,1.1416668,0.12214047,3.6907012
206,29.43987,5.075216,2.5,Stddev_mean_size,1.1583334,0.105473794,91.28437
207,28.33925,5.0352907,2.5,Stddev_mean_size,1.1583334,0.105473794,3.8658743
208,28.393682,4.258388,2.4285715,Stddev_mean_size,1.1214286,0.104691826,2.2166028
209,27.372038,4.201315,2.4285715,Stddev_mean_size,1.1357143,0.09040611,2.9207034
210,28.906652,2.8718863,2.3,Stddev_mean_size,1.0649999,0.09328429,1.9661939
211,27.88248,2.8290532,2.3,Stddev_mean_size,1.1450001,0.043164965,1.6730652
212,28.458294,3.7002518,2.4,Stddev_mean_size,1.1591667,0.0799305,1.0897915
213,27.74202,3.6460903,2.4,Stddev_mean_size,1.1633333,0.082169905,0.8322431
214,26.266722,4.019205,2.4444444,Stddev_mean_size,1.1703703,0.102411,0.6253303
215,25.381172,4.025271,2.4444444,Stddev_mean_size,1.1814815,0.09129989,0.4607307
216,24.750593,4.0515842,2.4444444,Stddev_mean_size,1.1814815,0.09129989,0.37189516
217,24.13344,4.1154265,2.4444444,Stddev_mean_size,1.2388889,0.10230801,0.3056062
218,24.176996,4.169002,2.4444444,Stddev_mean_size,1.2407407,0.10482201,0.24150743
219,24.064796,4.2296963,2.4444444,Stddev_mean_size,1.2407407,0.10482201,0.21404576
220,24.315844,4.2801065,2.4444444,Stddev_mean_size,1.2407407,0.10482201,0.18881461
221,25.741323,3.8951192,2.4,Stddev_mean_size,1.1716666,0.11490492,0.15241572
222,25.930454,3.9390774,2.4,Stddev_mean_size,1.1783333,0.09913143,0.13234271
223,25.005272,4.460163,2.4444444,Stddev_mean_size,1.1981481,0.11014603,0.12921068
224,25.203667,4.5577054,2.4444444,Stddev_mean_size,1.1981481,0.11014603,0.115940265
225,25.711575,4.6666727,2.4444444,Stddev_mean_size,1.1981481,0.11014603,0.10767612
