 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
252,33.02821,12.115004,3.2,1.5027777,0.18829918,
253,28.748173,10.447734,3,1.4416666,0.116641566,
254,29.528427,10.778772,3,1.4416666,0.116641566,
255,30.813198,9.024668,3,1.4416666,0.116641566,
256,26.805563,4.013543,2.8,1.5213889,0.09692083,
257,32.632484,9.074164,3.5,1.5610119,0.31777075,
258,32.347237,7.429737,3.2,1.4613096,0.2505552,
259,31.707546,7.556311,3.2,1.4613096,0.2505552,
260,31.236115,7.6646957,3.2,1.4613096,0.2505552,
261,33.978985,7.8994293,3.1666667,1.4122024,0.2480797,
262,33.325085,8.051571,3.1666667,1.5372024,0.22843784,
263,29.17928,4.607806,2.7142856,1.5494049,0.04356059,
264,28.969204,4.654577,2.7142856,1.5198413,0.0691427,
265,28.53552,4.7955484,2.7142856,1.4920635,0.05708108,
266,28.119925,4.999016,2.7142856,1.4920635,0.05708108,
267,27.912981,5.206715,2.7142856,1.4920635,0.05708108,
268,27.96593,5.5346603,2.7142856,1.4277779,0.16476594,
269,27.987885,5.9108787,2.7142856,1.4107144,0.15719858,
270,26.786919,6.9152827,2.8333333,1.4791666,0.18339835,
271,26.973946,7.252228,2.8333333,1.4791666,0.18339835,
272,27.181204,7.652704,2.8333333,1.4791666,0.18339835,
273,24.860266,5.6993484,2.6666667,1.5277778,0.039283708,
274,25.128942,5.8340697,2.6666667,1.3888888,0.078567415,
275,25.671762,6.22023,2.6666667,1.3888888,0.078567415,
276,24.466623,7.350412,2.8,1.4666666,0.0942809,
277,25.485931,7.36503,2.8,1.4666666,0.0942809,
278,26.4772,7.4053564,2.8,1.4666666,0.0942809,
279,31.241343,9.135266,3,1.4958333,0.11209235,
280,26.795155,6.1595063,2.8,1.4444444,0.07698003,
281,31.449427,10.150137,3,1.45,0.08130525,
282,30.319313,13.026873,3.25,1.5833333,0.13109434,
283,30.426697,13.302857,3.25,1.4791666,0.159727,
284,30.39241,13.160867,3.25,1.4652777,0.13803875,
285,30.83062,13.244774,3.25,1.4652777,0.13803875,
286,30.980125,12.878773,3.25,1.3385416,0.28014734,
287,29.220484,12.217719,3,1.3090278,0.24892464,
288,29.11359,12.276842,3,1.3090278,0.24892464,
289,29.39938,12.305601,3,1.3090278,0.24892464,
290,25.331308,8.38261,2.75,1.3333333,0.11785112,
291,30.727592,13.574387,3.25,1.4138889,0.26182258,
292,31.059803,10.323133,3,1.4,0.18376645,
293,30.627213,8.18186,2.8333333,1.4141203,0.15285693,
294,31.52825,10.937,3,1.3949074,0.23863828,
295,29.98544,9.225042,3.2,1.5611111,0.18541434,
296,28.3931,9.283536,3.2,1.6222222,0.21671021,
297,26.799603,9.282689,3.2,1.6555555,0.17985882,
298,27.756868,7.670925,3,1.5462962,0.14988235,
299,28.49434,6.9001746,3.1666667,1.5504631,0.14390177,
300,27.723015,6.41844,3.1666667,1.5671296,0.15710402,
301,27.418428,6.11795,3.1666667,1.5671296,0.15710402,
302,23.857584,4.735313,2.7142856,1.4384921,0.108570896,
303,23.574642,4.630639,2.7142856,1.4384921,0.108570896,
304,24.967098,4.098125,2.625,1.4401041,0.052148767,
305,24.37856,4.04177,2.625,1.484375,0.08402376,
306,25.535341,6.43643,2.75,1.4513888,0.17362274,
307,26.237658,5.8181148,2.6666667,1.4012346,0.15433133,
308,25.908367,5.853601,2.6666667,1.3632716,0.1366864,
309,25.742285,5.718987,2.6666667,1.3987654,0.07559387,
310,25.966372,5.5518665,2.6666667,1.337963,0.04449761,
311,26.29592,5.5281944,2.6666667,1.3018519,0.04318612,
312,31.572992,8.94151,3,1.3307291,0.15004106,
313,28.259909,6.4612155,2.6666667,1.300926,0.08683625,
314,26.482838,7.511356,2.625,1.3177083,0.076337785,
315,26.786663,7.679267,2.625,1.2135416,0.10580057,
316,29.940313,10.1818495,2.75,1.234375,0.13526335,
317,32.709774,10.213136,2.875,1.2447916,0.13705057,
318,33.135597,10.084728,2.875,1.15625,0.18213835,
319,33.611103,9.902647,2.875,1.15625,0.18213835,
320,26.07126,6.375688,2.5,1.0833333,0.11785112,
321,26.37456,6.0605106,2.5,1.0833333,0.11785112,
322,23.479105,4.0770326,2.375,1.0625,0.08838834,
323,23.422419,3.719277,2.375,1.0625,0.08838834,
324,21.50897,1.8399279,2.25,1.0416666,0.05892556,
325,19.457485,0.7848185,2.125,1.1145833,0.014731391,
326,19.18691,0.6441811,2.125,1.125,0,
327,24.451216,1.892655,2.4285715,1.1875,0.046394218,
328,24.48725,1.861679,2.4285715,1.1964285,0.05357143,
